county,office,district,party,candidate,votes,winner,,,,,,,,,,,,,,
Yavapai ,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"17,304",,,,,,,,,,,,,,,
Yavapai ,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"12,722",,,,,,,,,,,,,,,
Yuma,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"3,925",,,,,,,,,,,,,,,
Yuma,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"2,334",,,,,,,,,,,,,,,
Yuma,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"4,586",,,,,,,,,,,,,,,
Yuma,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"3,303",,,,,,,,,,,,,,,
,Superintendent of Public Instruction,,DEM,(DEM) David Garcia * ,"157,233",TRUE,,,,,,,,,,,,,,
,Superintendent of Public Instruction,,DEM,(DEM) Sharon Thomas ,"134,310",,,,,,,,,,,,,,,
,Superintendent of Public Instruction,,REP,(REP) Diane M. Douglas * ,"290,719",TRUE,,,,,,,,,,,,,,
,Superintendent of Public Instruction,,REP,(REP) John F. Huppenthal ,"206,744",,,,,,,,,,,,,,,
Apache ,State Mine Inspector,,REP,(REP) Joe Hart * ,"2,541",,,,,,,,,,,,,,,
Cochise ,State Mine Inspector,,REP,(REP) Joe Hart * ,"10,944",,,,,,,,,,,,,,,
Coconino ,State Mine Inspector,,REP,(REP) Joe Hart * ,"6,437",,,,,,,,,,,,,,,
Gila ,State Mine Inspector,,REP,(REP) Joe Hart * ,"5,092",,,,,,,,,,,,,,,
Graham ,State Mine Inspector,,REP,(REP) Joe Hart * ,"2,499",,,,,,,,,,,,,,,
Greenlee ,State Mine Inspector,,REP,(REP) Joe Hart * ,407,,,,,,,,,,,,,,,
La Paz ,State Mine Inspector,,REP,(REP) Joe Hart * ,"1,279",,,,,,,,,,,,,,,
Maricopa ,State Mine Inspector,,REP,(REP) Joe Hart * ,"262,393",,,,,,,,,,,,,,,
Mohave ,State Mine Inspector,,REP,(REP) Joe Hart * ,"17,814",,,,,,,,,,,,,,,
Navajo ,State Mine Inspector,,REP,(REP) Joe Hart * ,"6,351",,,,,,,,,,,,,,,
Pima ,State Mine Inspector,,REP,(REP) Joe Hart * ,"62,289",,,,,,,,,,,,,,,
Pinal ,State Mine Inspector,,REP,(REP) Joe Hart * ,"21,402",,,,,,,,,,,,,,,
Santa Cruz ,State Mine Inspector,,REP,(REP) Joe Hart * ,"1,193",,,,,,,,,,,,,,,
Yavapai ,State Mine Inspector,,REP,(REP) Joe Hart * ,"25,956",,,,,,,,,,,,,,,
Yuma,State Mine Inspector,,REP,(REP) Joe Hart * ,"6,807",,,,,,,,,,,,,,,
,State Mine Inspector,,REP,(REP) Joe Hart * ,"433,404",TRUE,,,,,,,,,,,,,,
Apache ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"4,519",,,,,,,,,,,,,,,
Apache ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"9,178",,,,,,,,,,,,,,,
Apache ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"1,634",,,,,,,,,,,,,,,
Apache ,Corporation Commissioner,,REP,(REP) Doug Little * ,"1,551",,,,,,,,,,,,,,,
Apache ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"1,111",,,,,,,,,,,,,,,
Apache ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,961,,,,,,,,,,,,,,,
Cochise ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"4,476",,,,,,,,,,,,,,,
Cochise ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"5,689",,,,,,,,,,,,,,,
Cochise ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"7,002",,,,,,,,,,,,,,,
Cochise ,Corporation Commissioner,,REP,(REP) Doug Little * ,"6,970",,,,,,,,,,,,,,,
Cochise ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"4,508",,,,,,,,,,,,,,,
Cochise ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"3,563",,,,,,,,,,,,,,,
Coconino ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"6,220",,,,,,,,,,,,,,,
Coconino ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"8,517",,,,,,,,,,,,,,,
Coconino ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"3,689",,,,,,,,,,,,,,,
Coconino ,Corporation Commissioner,,REP,(REP) Doug Little * ,"3,853",,,,,,,,,,,,,,,
Coconino ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"2,889",,,,,,,,,,,,,,,
Coconino ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"2,348",,,,,,,,,,,,,,,
Gila ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"2,309",,,,,,,,,,,,,,,
Gila ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"2,811",,,,,,,,,,,,,,,
Gila ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"3,236",,,,,,,,,,,,,,,
Gila ,Corporation Commissioner,,REP,(REP) Doug Little * ,"3,409",,,,,,,,,,,,,,,
Gila ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"2,484",,,,,,,,,,,,,,,
Gila ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"2,024",,,,,,,,,,,,,,,
Graham ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,909,,,,,,,,,,,,,,,
Graham ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"1,069",,,,,,,,,,,,,,,
Graham ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"1,782",,,,,,,,,,,,,,,
Graham ,Corporation Commissioner,,REP,(REP) Doug Little * ,"1,825",,,,,,,,,,,,,,,
Graham ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"1,007",,,,,,,,,,,,,,,
Graham ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,845,,,,,,,,,,,,,,,
Greenlee ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,446,,,,,,,,,,,,,,,
Greenlee ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,549,,,,,,,,,,,,,,,
Greenlee ,Corporation Commissioner,,REP,(REP) Tom Forese * ,273,,,,,,,,,,,,,,,
Greenlee ,Corporation Commissioner,,REP,(REP) Doug Little * ,265,,,,,,,,,,,,,,,
Greenlee ,Corporation Commissioner,,REP,(REP) Lucy Mason ,129,,,,,,,,,,,,,,,
Greenlee ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,134,,,,,,,,,,,,,,,
La Paz ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,295,,,,,,,,,,,,,,,
La Paz ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,358,,,,,,,,,,,,,,,
La Paz ,Corporation Commissioner,,REP,(REP) Tom Forese * ,754,,,,,,,,,,,,,,,
La Paz ,Corporation Commissioner,,REP,(REP) Doug Little * ,804,,,,,,,,,,,,,,,
La Paz ,Corporation Commissioner,,REP,(REP) Lucy Mason ,572,,,,,,,,,,,,,,,
La Paz ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,453,,,,,,,,,,,,,,,
Maricopa ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"94,802",,,,,,,,,,,,,,,
Maricopa ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"123,576",,,,,,,,,,,,,,,
Maricopa ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"148,933",,,,,,,,,,,,,,,
Maricopa ,Corporation Commissioner,,REP,(REP) Doug Little * ,"149,714",,,,,,,,,,,,,,,
Maricopa ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"123,180",,,,,,,,,,,,,,,
Maricopa ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"104,227",,,,,,,,,,,,,,,
Mohave ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"3,227",,,,,,,,,,,,,,,
Mohave ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"4,284",,,,,,,,,,,,,,,
Mohave ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"10,817",,,,,,,,,,,,,,,
Mohave ,Corporation Commissioner,,REP,(REP) Doug Little * ,"10,613",,,,,,,,,,,,,,,
Mohave ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"6,357",,,,,,,,,,,,,,,
Mohave ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"5,075",,,,,,,,,,,,,,,
Navajo ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"3,666",,,,,,,,,,,,,,,
Navajo ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"6,110",,,,,,,,,,,,,,,
Navajo ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"4,478",,,,,,,,,,,,,,,
Navajo ,Corporation Commissioner,,REP,(REP) Doug Little * ,"4,316",,,,,,,,,,,,,,,
Navajo ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"2,542",,,,,,,,,,,,,,,
Navajo ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"2,204",,,,,,,,,,,,,,,
Pima ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"45,234",,,,,,,,,,,,,,,
Pima ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"53,894",,,,,,,,,,,,,,,
Pima ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"36,205",,,,,,,,,,,,,,,
Pima ,Corporation Commissioner,,REP,(REP) Doug Little * ,"35,724",,,,,,,,,,,,,,,
Pima ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"27,087",,,,,,,,,,,,,,,
Pima ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"20,796",,,,,,,,,,,,,,,
Pinal ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"8,420",,,,,,,,,,,,,,,
Pinal ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"11,386",,,,,,,,,,,,,,,
Pinal ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"11,733",,,,,,,,,,,,,,,
Pinal ,Corporation Commissioner,,REP,(REP) Doug Little * ,"12,091",,,,,,,,,,,,,,,
Pinal ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"9,061",,,,,,,,,,,,,,,
Pinal ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"7,591",,,,,,,,,,,,,,,
Santa Cruz ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"1,715",,,,,,,,,,,,,,,
Santa Cruz ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"2,799",,,,,,,,,,,,,,,
Santa Cruz ,Corporation Commissioner,,REP,(REP) Tom Forese * ,764,,,,,,,,,,,,,,,
Santa Cruz ,Corporation Commissioner,,REP,(REP) Doug Little * ,754,,,,,,,,,,,,,,,
Santa Cruz ,Corporation Commissioner,,REP,(REP) Lucy Mason ,604,,,,,,,,,,,,,,,
Santa Cruz ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,406,,,,,,,,,,,,,,,
Yavapai ,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"6,483",,,,,,,,,,,,,,,
Yavapai ,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"8,004",,,,,,,,,,,,,,,
Yavapai ,Corporation Commissioner,,REP,(REP) Tom Forese * ,"14,264",,,,,,,,,,,,,,,
Yavapai ,Corporation Commissioner,,REP,(REP) Doug Little * ,"14,164",,,,,,,,,,,,,,,
Yavapai ,Corporation Commissioner,,REP,(REP) Lucy Mason ,"15,653",,,,,,,,,,,,,,,
Yavapai ,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"10,725",,,,,,,,,,,,,,,
Yuma,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"2,964",,,,,,,,,,,,,,,
Yuma,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"4,965",,,,,,,,,,,,,,,
Yuma,Corporation Commissioner,,REP,(REP) Tom Forese * ,"4,387",,,,,,,,,,,,,,,
Yuma,Corporation Commissioner,,REP,(REP) Doug Little * ,"4,140",,,,,,,,,,,,,,,
Yuma,Corporation Commissioner,,REP,(REP) Lucy Mason ,"2,637",,,,,,,,,,,,,,,
Yuma,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"2,421",,,,,,,,,,,,,,,
,Corporation Commissioner,,DEM,(DEM) Jim Holway * ,"185,685",TRUE,,,,,,,,,,,,,,
,Corporation Commissioner,,DEM,(DEM) Sandra Kennedy * ,"243,189",TRUE,,,,,,,,,,,,,,
,Corporation Commissioner,,REP,(REP) Tom Forese * ,"249,951",TRUE,,,,,,,,,,,,,,
,Corporation Commissioner,,REP,(REP) Doug Little * ,"250,193",TRUE,,,,,,,,,,,,,,
,Corporation Commissioner,,REP,(REP) Lucy Mason ,"199,821",,,,,,,,,,,,,,,
,Corporation Commissioner,,REP,(REP) Vernon B. Parker ,"163,773",,,,,,,,,,,,,,,
Maricopa ,State Senate,1,REP,(REP) Steve Pierce * ,"6,637",,,,,,,,,,,,,,,
Yavapai ,State Senate,1,REP,(REP) Steve Pierce * ,"21,577",,,,,,,,,,,,,,,
,State Senate,1,REP,(REP) Steve Pierce * ,"28,214",TRUE,,,,,,,,,,,,,,
Pima,State Senate,2,DEM,(DEM) Andrea Dalessandro * ,"7,743",,,,,,,,,,,,,,,
Santa Cruz ,State Senate,2,DEM,(DEM) Andrea Dalessandro * ,"3,011",,,,,,,,,,,,,,,
,State Senate,2,DEM,(DEM) Andrea Dalessandro * ,"10,754",TRUE,,,,,,,,,,,,,,
Pima,State Senate,2,REP,(REP) Daniel Estrella * ,"8,097",,,,,,,,,,,,,,,
Santa Cruz ,State Senate,2,REP,(REP) Daniel Estrella * ,"1,236",,,,,,,,,,,,,,,
,State Senate,2,REP,(REP) Daniel Estrella * ,"9,333",TRUE,,,,,,,,,,,,,,
Pima,State Senate,3,DEM,(DEM) Salom—n F. Baldenegro ,"4,923",,,,,,,,,,,,,,,
Pima,State Senate,3,DEM,(DEM) Olivia Cajero Bedford * ,"7,087",,,,,,,,,,,,,,,
,State Senate,3,DEM,(DEM) Salom—n F. Baldenegro ,"4,923",,,,,,,,,,,,,,,
,State Senate,3,DEM,(DEM) Olivia Cajero Bedford * ,"7,087",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,4,DEM,(DEM) Lynne Pancrazi * ,"1,632",,,,,,,,,,,,,,,
Maricopa ,State Senate,4,REP,(REP) Connie Uribe * ,"2,923",,,,,,,,,,,,,,,
Pima,State Senate,4,DEM,(DEM) Lynne Pancrazi * ,"1,594",,,,,,,,,,,,,,,
Pima,State Senate,4,REP,(REP) Connie Uribe * ,759,,,,,,,,,,,,,,,
Pinal ,State Senate,4,DEM,(DEM) Lynne Pancrazi * ,31,,,,,,,,,,,,,,,
Pinal ,State Senate,4,REP,(REP) Connie Uribe * ,4,,,,,,,,,,,,,,,
Yuma,State Senate,4,DEM,(DEM) Lynne Pancrazi * ,"3,572",,,,,,,,,,,,,,,
Yuma,State Senate,4,REP,(REP) Connie Uribe * ,"2,160",,,,,,,,,,,,,,,
,State Senate,4,DEM,(DEM) Lynne Pancrazi * ,"6,829",TRUE,,,,,,,,,,,,,,
,State Senate,4,REP,(REP) Connie Uribe * ,"5,846",TRUE,,,,,,,,,,,,,,
La Paz ,State Senate,5,REP,(REP) Kelli Ward * ,"1,408",,,,,,,,,,,,,,,
Mohave ,State Senate,5,REP,(REP) Kelli Ward * ,"18,031",,,,,,,,,,,,,,,
,State Senate,5,REP,(REP) Kelli Ward * ,"19,439",TRUE,,,,,,,,,,,,,,
Coconino ,State Senate,6,REP,(REP) Chester Crandell ** (Deceased) ,"4,186",,,,,,,,,,,,,,,
Gila ,State Senate,6,REP,(REP) Chester Crandell ** (Deceased) ,"3,344",,,,,,,,,,,,,,,
Navajo ,State Senate,6,REP,(REP) Chester Crandell ** (Deceased) ,"2,223",,,,,,,,,,,,,,,
Yavapai ,State Senate,6,REP,(REP) Chester Crandell ** (Deceased) ,"4,968",,,,,,,,,,,,,,,
,State Senate,6,REP,(REP) Chester Crandell ** (Deceased) ,"14,721",,,,,,,,,,,,,,,
Apache ,State Senate,7,AEL,(AEL) Kelly Gneiting (Write-In) * ,4,,,,,,,,,,,,,,,
Apache ,State Senate,7,DEM,(DEM) Carlyle W. Begay * ,"5,818",,,,,,,,,,,,,,,
Apache ,State Senate,7,DEM,(DEM) Eric Descheenie ,"3,968",,,,,,,,,,,,,,,
Apache ,State Senate,7,DEM,(DEM) Jamescita Peshlakai ,"2,475",,,,,,,,,,,,,,,
Coconino ,State Senate,7,AEL,(AEL) Kelly Gneiting (Write-In) * ,3,,,,,,,,,,,,,,,
Coconino ,State Senate,7,DEM,(DEM) Carlyle W. Begay * ,"1,330",,,,,,,,,,,,,,,
Coconino ,State Senate,7,DEM,(DEM) Eric Descheenie ,"1,005",,,,,,,,,,,,,,,
Coconino ,State Senate,7,DEM,(DEM) Jamescita Peshlakai ,"2,103",,,,,,,,,,,,,,,
Gila ,State Senate,7,AEL,(AEL) Kelly Gneiting (Write-In) * ,0,,,,,,,,,,,,,,,
Gila ,State Senate,7,DEM,(DEM) Carlyle W. Begay * ,147,,,,,,,,,,,,,,,
Gila ,State Senate,7,DEM,(DEM) Eric Descheenie ,26,,,,,,,,,,,,,,,
Gila ,State Senate,7,DEM,(DEM) Jamescita Peshlakai ,44,,,,,,,,,,,,,,,
Graham ,State Senate,7,AEL,(AEL) Kelly Gneiting (Write-In) * ,0,,,,,,,,,,,,,,,
Graham ,State Senate,7,DEM,(DEM) Carlyle W. Begay * ,53,,,,,,,,,,,,,,,
Graham ,State Senate,7,DEM,(DEM) Eric Descheenie ,10,,,,,,,,,,,,,,,
Graham ,State Senate,7,DEM,(DEM) Jamescita Peshlakai ,15,,,,,,,,,,,,,,,
Mohave ,State Senate,7,AEL,(AEL) Kelly Gneiting (Write-In) * ,0,,,,,,,,,,,,,,,
Mohave ,State Senate,7,DEM,(DEM) Carlyle W. Begay * ,12,,,,,,,,,,,,,,,
Mohave ,State Senate,7,DEM,(DEM) Eric Descheenie ,2,,,,,,,,,,,,,,,
Mohave ,State Senate,7,DEM,(DEM) Jamescita Peshlakai ,3,,,,,,,,,,,,,,,
Navajo ,State Senate,7,AEL,(AEL) Kelly Gneiting (Write-In) * ,0,,,,,,,,,,,,,,,
Navajo ,State Senate,7,DEM,(DEM) Carlyle W. Begay * ,"2,971",,,,,,,,,,,,,,,
Navajo ,State Senate,7,DEM,(DEM) Eric Descheenie ,"1,889",,,,,,,,,,,,,,,
Navajo ,State Senate,7,DEM,(DEM) Jamescita Peshlakai ,"2,060",,,,,,,,,,,,,,,
Pinal,State Senate,7,AEL,(AEL) Kelly Gneiting (Write-In) * ,0,,,,,,,,,,,,,,,
Pinal,State Senate,7,DEM,(DEM) Carlyle W. Begay * ,0,,,,,,,,,,,,,,,
Pinal,State Senate,7,DEM,(DEM) Eric Descheenie ,0,,,,,,,,,,,,,,,
Pinal,State Senate,7,DEM,(DEM) Jamescita Peshlakai ,0,,,,,,,,,,,,,,,
,State Senate,7,AEL,(AEL) Kelly Gneiting (Write-In) * ,7,TRUE,,,,,,,,,,,,,,
,State Senate,7,DEM,(DEM) Carlyle W. Begay * ,"10,331",TRUE,,,,,,,,,,,,,,
,State Senate,7,DEM,(DEM) Eric Descheenie ,"6,900",,,,,,,,,,,,,,,
,State Senate,7,DEM,(DEM) Jamescita Peshlakai ,"6,700",,,,,,,,,,,,,,,
Gila,State Senate,8,DEM,(DEM) Barbara McGuire * ,"1,714",,,,,,,,,,,,,,,
Gila,State Senate,8,LBT,(LBT) Kevin Sullivan (Write-In) ,2,,,,,,,,,,,,,,,
Gila,State Senate,8,REP,(REP) Irene Littleton * ,537,,,,,,,,,,,,,,,
Gila,State Senate,8,REP,(REP) Alan Pease ,348,,,,,,,,,,,,,,,
Gila,State Senate,8,REP,(REP) Harold W. Vangilder ,227,,,,,,,,,,,,,,,
Pinal,State Senate,8,DEM,(DEM) Barbara McGuire * ,"7,052",,,,,,,,,,,,,,,
Pinal,State Senate,8,LBT,(LBT) Kevin Sullivan (Write-In) ,1,,,,,,,,,,,,,,,
Pinal,State Senate,8,REP,(REP) Irene Littleton * ,"4,467",,,,,,,,,,,,,,,
Pinal,State Senate,8,REP,(REP) Alan Pease ,"2,004",,,,,,,,,,,,,,,
Pinal,State Senate,8,REP,(REP) Harold W. Vangilder ,"2,540",,,,,,,,,,,,,,,
,State Senate,8,DEM,(DEM) Barbara McGuire * ,"8,766",TRUE,,,,,,,,,,,,,,
,State Senate,8,LBT,(LBT) Kevin Sullivan (Write-In) ,3,,,,,,,,,,,,,,,
,State Senate,8,REP,(REP) Irene Littleton * ,"5,004",TRUE,,,,,,,,,,,,,,
,State Senate,8,REP,(REP) Alan Pease ,"2,352",,,,,,,,,,,,,,,
,State Senate,8,REP,(REP) Harold W. Vangilder ,"2,767",,,,,,,,,,,,,,,
Pima,State Senate,9,DEM,(DEM) Steve Farley * ,"15,735",,,,,,,,,,,,,,,
,State Senate,9,DEM,(DEM) Steve Farley * ,"15,735",TRUE,,,,,,,,,,,,,,
Pima,State Senate,10,DEM,(DEM) David Bradley * ,"15,261",,,,,,,,,,,,,,,
Pima,State Senate,10,REP,(REP) Mark Morrison * ,"15,820",,,,,,,,,,,,,,,
,State Senate,10,DEM,(DEM) David Bradley * ,"15,261",TRUE,,,,,,,,,,,,,,
,State Senate,10,REP,(REP) Mark Morrison * ,"15,820",TRUE,,,,,,,,,,,,,,
Pima,State Senate,11,DEM,(DEM) Jo Holt * ,"7,590",,,,,,,,,,,,,,,
Pima,State Senate,11,REP,(REP) Scott Bartle ,"4,573",,,,,,,,,,,,,,,
Pima,State Senate,11,REP,(REP) Steve Smith * ,"10,415",,,,,,,,,,,,,,,
Pinal ,State Senate,11,DEM,(DEM) Jo Holt * ,"3,611",,,,,,,,,,,,,,,
Pinal ,State Senate,11,REP,(REP) Scott Bartle ,"2,290",,,,,,,,,,,,,,,
Pinal ,State Senate,11,REP,(REP) Steve Smith * ,"5,541",,,,,,,,,,,,,,,
,State Senate,11,DEM,(DEM) Jo Holt * ,"11,201",TRUE,,,,,,,,,,,,,,
,State Senate,11,REP,(REP) Scott Bartle ,"6,863",,,,,,,,,,,,,,,
,State Senate,11,REP,(REP) Steve Smith * ,"15,956",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,12,DEM,(DEM) Scott Glover * ,"5,024",,,,,,,,,,,,,,,
Maricopa ,State Senate,12,REP,(REP) Andy Biggs * ,"18,488",,,,,,,,,,,,,,,
Pinal,State Senate,12,DEM,(DEM) Scott Glover * ,35,,,,,,,,,,,,,,,
Pinal,State Senate,12,REP,(REP) Andy Biggs * ,165,,,,,,,,,,,,,,,
,State Senate,12,DEM,(DEM) Scott Glover * ,"5,059",TRUE,,,,,,,,,,,,,,
,State Senate,12,REP,(REP) Andy Biggs * ,"18,653",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,13,DEM,(DEM) Terri Woodmansee * ,"3,842",,,,,,,,,,,,,,,
Maricopa ,State Senate,13,REP,(REP) Toby Farmer ,"4,504",,,,,,,,,,,,,,,
Maricopa ,State Senate,13,REP,(REP) Don Shooter * ,"7,843",,,,,,,,,,,,,,,
Yavapai ,State Senate,13,DEM,(DEM) Terri Woodmansee * ,0,,,,,,,,,,,,,,,
Yavapai ,State Senate,13,REP,(REP) Toby Farmer ,0,,,,,,,,,,,,,,,
Yavapai ,State Senate,13,REP,(REP) Don Shooter * ,0,,,,,,,,,,,,,,,
Yuma,State Senate,13,DEM,(DEM) Terri Woodmansee * ,"1,990",,,,,,,,,,,,,,,
Yuma,State Senate,13,REP,(REP) Toby Farmer ,"1,942",,,,,,,,,,,,,,,
Yuma,State Senate,13,REP,(REP) Don Shooter * ,"3,951",,,,,,,,,,,,,,,
,State Senate,13,DEM,(DEM) Terri Woodmansee * ,"5,832",TRUE,,,,,,,,,,,,,,
,State Senate,13,REP,(REP) Toby Farmer ,"6,446",,,,,,,,,,,,,,,
,State Senate,13,REP,(REP) Don Shooter * ,"11,794",TRUE,,,,,,,,,,,,,,
Cochise,State Senate,14,REP,(REP) Gail Griffin * ,"12,023",,,,,,,,,,,,,,,
Graham ,State Senate,14,REP,(REP) Gail Griffin * ,"2,801",,,,,,,,,,,,,,,
Greenlee ,State Senate,14,REP,(REP) Gail Griffin * ,432,,,,,,,,,,,,,,,
Pima,State Senate,14,REP,(REP) Gail Griffin * ,"4,632",,,,,,,,,,,,,,,
,State Senate,14,REP,(REP) Gail Griffin * ,"19,888",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,15,REP,(REP) Nancy Barto * ,"13,585",,,,,,,,,,,,,,,
Maricopa ,State Senate,15,REP,(REP) David Ryan ,"8,012",,,,,,,,,,,,,,,
,State Senate,15,REP,(REP) Nancy Barto * ,"13,585",TRUE,,,,,,,,,,,,,,
,State Senate,15,REP,(REP) David Ryan ,"8,012",,,,,,,,,,,,,,,
Maricopa ,State Senate,16,DEM,(DEM) Scott Prior * ,"3,831",,,,,,,,,,,,,,,
Maricopa ,State Senate,16,REP,(REP) David Christian Farnsworth * ,"7,170",,,,,,,,,,,,,,,
Maricopa ,State Senate,16,REP,(REP) Taylor McArthur ,"5,415",,,,,,,,,,,,,,,
Pinal,State Senate,16,DEM,(DEM) Scott Prior * ,"2,483",,,,,,,,,,,,,,,
Pinal,State Senate,16,REP,(REP) David Christian Farnsworth * ,"3,535",,,,,,,,,,,,,,,
Pinal,State Senate,16,REP,(REP) Taylor McArthur ,"3,182",,,,,,,,,,,,,,,
,State Senate,16,DEM,(DEM) Scott Prior * ,"6,314",TRUE,,,,,,,,,,,,,,
,State Senate,16,REP,(REP) David Christian Farnsworth * ,"10,705",TRUE,,,,,,,,,,,,,,
,State Senate,16,REP,(REP) Taylor McArthur ,"8,597",,,,,,,,,,,,,,,
Maricopa ,State Senate,17,DEM,(DEM) Kristie O'Brien * ,"7,415",,,,,,,,,,,,,,,
Maricopa ,State Senate,17,REP,(REP) Steve Yarbrough * ,"17,958",,,,,,,,,,,,,,,
,State Senate,17,DEM,(DEM) Kristie O'Brien * ,"7,415",TRUE,,,,,,,,,,,,,,
,State Senate,17,REP,(REP) Steve Yarbrough * ,"17,958",TRUE,,,,,,,,,,,,,,
Maricopa ,State Senate,18,DEM,(DEM) Janie Hydrick * ,"10,946",,,,,,,,,,,,,,,
Maricopa ,State Senate,18,REP,(REP) Jeff Dial * ,"12,886",,,,,,,,,,,,,,,
Maricopa ,State Senate,18,REP,(REP) Tom Morrissey ,"8,659",,,,,,,,,,,,,,,
,State Senate,18,DEM,(DEM) Janie Hydrick * ,"10,946",TRUE,,,,,,,,,,,,,,
,State Senate,18,REP,(REP) Jeff Dial * ,"12,886",TRUE,,,,,,,,,,,,,,
,State Senate,18,REP,(REP) Tom Morrissey ,"8,659",,,,,,,,,,,,,,,
Maricopa ,State Senate,19,DEM,(DEM) Lupe Chavira Contreras * ,"3,106",,,,,,,,,,,,,,,
Maricopa ,State Senate,19,DEM,(DEM) Angela Cotera ,"2,696",,,,,,,,,,,,,,,
Maricopa ,State Senate,19,REP,"(REP) Joseph \""Joe"" Hobbs (Write-In) * ",189,,,,,,,,,,,,,,,
,State Senate,19,DEM,(DEM) Lupe Chavira Contreras * ,"3,106",TRUE,,,,,,,,,,,,,,
,State Senate,19,DEM,(DEM) Angela Cotera ,"2,696",,,,,,,,,,,,,,,
,State Senate,19,REP,"(REP) Joseph \""Joe"" Hobbs (Write-In) * ",189,TRUE,,,,,,,,,,,,,,
