county,precinct,office,district,party,seats,candidate,votes
Gila,Globe No. 2,Board of Supervisors,3,REP,1,Undervotes,4
Gila,Globe No. 2,County Attorney,,REP,1,Bradley BEAUCHAMP,31
Gila,Globe No. 2,County Attorney,,REP,1,Write-In Totals,4
Gila,Globe No. 2,County Attorney,,REP,1,Total Votes Cast,35
Gila,Globe No. 2,County Attorney,,REP,1,Overvotes,0
Gila,Globe No. 2,County Attorney,,REP,1,Undervotes,8
Gila,Globe No. 2,Sheriff,,REP,1,Tom MORRISSEY,21
Gila,Globe No. 2,Sheriff,,REP,1,Adam SHEPHERD,13
Gila,Globe No. 2,Sheriff,,REP,1,Write-In Totals,2
Gila,Globe No. 2,Sheriff,,REP,1,Total Votes Cast,36
Gila,Globe No. 2,Sheriff,,REP,1,Overvotes,0
Gila,Globe No. 2,Sheriff,,REP,1,Undervotes,7
Gila,Globe No. 2,County Treasurer,,REP,1,Monica WOHLFORTH,35
Gila,Globe No. 2,County Treasurer,,REP,1,Write-In Totals,0
Gila,Globe No. 2,County Treasurer,,REP,1,Total Votes Cast,35
Gila,Globe No. 2,County Treasurer,,REP,1,Overvotes,0
Gila,Globe No. 2,County Treasurer,,REP,1,Undervotes,8
Gila,Globe No. 2,County Superintendent of Schools,,REP,1,Jack DUFFY,19
Gila,Globe No. 2,County Superintendent of Schools,,REP,1,Roy SANDOVAL,17
Gila,Globe No. 2,County Superintendent of Schools,,REP,1,Write-In Totals,0
Gila,Globe No. 2,County Superintendent of Schools,,REP,1,Total Votes Cast,36
Gila,Globe No. 2,County Superintendent of Schools,,REP,1,Overvotes,0
Gila,Globe No. 2,County Superintendent of Schools,,REP,1,Undervotes,7
Gila,Globe No. 2,County Recorder,,REP,1,Sadie Jo BINGHAM,29
Gila,Globe No. 2,County Recorder,,REP,1,Bonnie WOLFF,10
Gila,Globe No. 2,County Recorder,,REP,1,Write-In Totals,0
Gila,Globe No. 2,County Recorder,,REP,1,Total Votes Cast,39
Gila,Globe No. 2,County Recorder,,REP,1,Overvotes,0
Gila,Globe No. 2,County Recorder,,REP,1,Undervotes,4
Gila,Globe No. 2,County Assessor,,REP,1,Sherra KISSEE,35
Gila,Globe No. 2,County Assessor,,REP,1,Write-In Totals,0
Gila,Globe No. 2,County Assessor,,REP,1,Total Votes Cast,35
Gila,Globe No. 2,County Assessor,,REP,1,Overvotes,0
Gila,Globe No. 2,County Assessor,,REP,1,Undervotes,8
Gila,Globe No. 2,Judge of the Superior Court,Div. 1,REP,1,Bryan B. CHAMBERS,34
Gila,Globe No. 2,Judge of the Superior Court,Div. 1,REP,1,Write-In Totals,2
Gila,Globe No. 2,Judge of the Superior Court,Div. 1,REP,1,Total Votes Cast,36
Gila,Globe No. 2,Judge of the Superior Court,Div. 1,REP,1,Overvotes,0
Gila,Globe No. 2,Judge of the Superior Court,Div. 1,REP,1,Undervotes,7
Gila,Globe No. 2,U.S. Senate,,DEM,1,Ruben GALLEGO,43
Gila,Globe No. 2,U.S. Senate,,DEM,1,Write-In Totals,0
Gila,Globe No. 2,U.S. Senate,,DEM,1,Total Votes Cast,43
Gila,Globe No. 2,U.S. Senate,,DEM,1,Overvotes,0
Gila,Globe No. 2,U.S. Senate,,DEM,1,Undervotes,3
Gila,Globe No. 2,U.S. House,2,DEM,1,Jonathan NEZ,37
Gila,Globe No. 2,U.S. House,2,DEM,1,Write-In Totals,0
Gila,Globe No. 2,U.S. House,2,DEM,1,Total Votes Cast,37
Gila,Globe No. 2,U.S. House,2,DEM,1,Overvotes,0
Gila,Globe No. 2,U.S. House,2,DEM,1,Undervotes,9
Gila,Globe No. 2,State Senate,7,DEM,1,Haley CREIGHTON,21
Gila,Globe No. 2,State Senate,7,DEM,1,Roberto Apodac REVELES,22
Gila,Globe No. 2,State Senate,7,DEM,1,Write-In Totals,0
Gila,Globe No. 2,State Senate,7,DEM,1,Total Votes Cast,43
Gila,Globe No. 2,State Senate,7,DEM,1,Overvotes,0
Gila,Globe No. 2,State Senate,7,DEM,1,Undervotes,3
Gila,Globe No. 2,State House,7,DEM,2,Kevin CHIQUETE,28
Gila,Globe No. 2,State House,7,DEM,2,Nancy HARTL,33
Gila,Globe No. 2,State House,7,DEM,2,Write-In Totals,1
Gila,Globe No. 2,State House,7,DEM,2,Total Votes Cast,62
Gila,Globe No. 2,State House,7,DEM,2,Overvotes,0
Gila,Globe No. 2,State House,7,DEM,2,Undervotes,30
Gila,Globe No. 2,Corporation Commissioner,,DEM,3,Ylenia AGUILAR,38
Gila,Globe No. 2,Corporation Commissioner,,DEM,3,Jonathon HILL,35
Gila,Globe No. 2,Corporation Commissioner,,DEM,3,Joshua POLACHECK,29
Gila,Globe No. 2,Corporation Commissioner,,DEM,3,Write-In Totals,0
Gila,Globe No. 2,Corporation Commissioner,,DEM,3,Total Votes Cast,102
Gila,Globe No. 2,Corporation Commissioner,,DEM,3,Overvotes,0
Gila,Globe No. 2,Corporation Commissioner,,DEM,3,Undervotes,36
Gila,Globe No. 2,Board of Supervisors,3,DEM,1,Write-In Totals,3
Gila,Globe No. 2,Board of Supervisors,3,DEM,1,Total Votes Cast,3
Gila,Globe No. 2,Board of Supervisors,3,DEM,1,Overvotes,0
Gila,Globe No. 2,Board of Supervisors,3,DEM,1,Undervotes,43
Gila,Globe No. 2,County Attorney,,DEM,1,Write-In Totals,4
Gila,Globe No. 2,County Attorney,,DEM,1,Total Votes Cast,4
Gila,Globe No. 2,County Attorney,,DEM,1,Overvotes,0
Gila,Globe No. 2,County Attorney,,DEM,1,Undervotes,42
Gila,Globe No. 2,Sheriff,,DEM,1,Write-In Totals,7
Gila,Globe No. 2,Sheriff,,DEM,1,Total Votes Cast,7
Gila,Globe No. 2,Sheriff,,DEM,1,Overvotes,0
Gila,Globe No. 2,Sheriff,,DEM,1,Undervotes,39
Gila,Globe No. 2,County Treasurer,,DEM,1,Write-In Totals,3
Gila,Globe No. 2,County Treasurer,,DEM,1,Total Votes Cast,3
Gila,Globe No. 2,County Treasurer,,DEM,1,Overvotes,0
Gila,Globe No. 2,County Treasurer,,DEM,1,Undervotes,43
Gila,Globe No. 2,County Superintendent of Schools,,DEM,1,Write-In Totals,3
Gila,Globe No. 2,County Superintendent of Schools,,DEM,1,Total Votes Cast,3
Gila,Globe No. 2,County Superintendent of Schools,,DEM,1,Overvotes,0
Gila,Globe No. 2,County Superintendent of Schools,,DEM,1,Undervotes,43
Gila,Globe No. 2,County Recorder,,DEM,1,Write-In Totals,5
Gila,Globe No. 2,County Recorder,,DEM,1,Total Votes Cast,5
Gila,Globe No. 2,County Recorder,,DEM,1,Overvotes,0
Gila,Globe No. 2,County Recorder,,DEM,1,Undervotes,41
Gila,Globe No. 2,County Assessor,,DEM,1,Write-In Totals,4
Gila,Globe No. 2,County Assessor,,DEM,1,Total Votes Cast,4
Gila,Globe No. 2,County Assessor,,DEM,1,Overvotes,0
Gila,Globe No. 2,County Assessor,,DEM,1,Undervotes,42
Gila,Globe No. 2,Judge of the Superior Court,Div. 1,DEM,1,Write-In Totals,3
Gila,Globe No. 2,Judge of the Superior Court,Div. 1,DEM,1,Total Votes Cast,3
Gila,Globe No. 2,Judge of the Superior Court,Div. 1,DEM,1,Overvotes,0
Gila,Globe No. 2,Judge of the Superior Court,Div. 1,DEM,1,Undervotes,43
Gila,Globe No. 2,U.S. Senate,,LBT,1,Write-In Totals,0
Gila,Globe No. 2,U.S. Senate,,LBT,1,Total Votes Cast,0
Gila,Globe No. 2,U.S. Senate,,LBT,1,Overvotes,0
Gila,Globe No. 2,U.S. Senate,,LBT,1,Undervotes,1
Gila,Globe No. 2,U.S. House,2,LBT,1,Write-In Totals,0
Gila,Globe No. 2,U.S. House,2,LBT,1,Total Votes Cast,0
Gila,Globe No. 2,U.S. House,2,LBT,1,Overvotes,0
Gila,Globe No. 2,U.S. House,2,LBT,1,Undervotes,1
